Date,Title,Author
2/2/24,why Fish do not Exist,Lulu Miller
2/4/24,A Court of Silver Flames,Sarah J. Maas
2/15/24,Black River Orchard ,Chuck Wendig
2/28/24,Our Share of Night,Mariana Enriquez
3/9/24,Where He Can't Find You,Darcy Coates
3/14/24,Candelaria,Melissa Lozada-Oliva
3/22/24,Pageboy,Elliot Page
3/28/24,The Three-Body Problem,Cixin Liu
4/6/24,House of Earth and Blood,Sarah J. Maas
4/18/24,Blood of the Chosen,Django Wexler
5/2/24,House of Sky and Breath,Sarah J. Maas
5/16/24,Emperor of Ruin,Django Wexler 
6/9/24,House of Flame and Shadow,Sarah J. Maas
6/14/24,Dawnshard,Brandon Sanderson 
7/11/24,Wolves of the Calla,Steven King 
7/17/24,Empire of the Vampire ,Jay Kristoff
7/30/24,Rhythm of War,Brandon Sanderson 
8/5/24,The Dark Forest,Cixin Liu
8/7/24,The Apocalypse Strain,Jason Parent
8/15/24,The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson 
8/21/24,Royal Assassin ,Robin Hobb
8/31/24,Warbreaker,Brandon Sanderson 
10/1/24,Empire of the Damned,Jay Kristoff
11/8/24,Absolution,Jeff Vandermeer
11/24/24,Death's End,Cixin Liu
12/2/24,Better Living Through Birding,Christian Cooper 
12/8/24,Elantris,Brandon Sanderson
12/21/24,The Library at Mount Char,Scott Hawkins
12/29/24,Song of Susannah ,Stephen King
1/14/25,Wind and Truth,Brandon Sanderson
2/10/25,Wrong Place Wrong Time,Gillian McAllister 
2/28/25,Assassin's Quest,Robin Hobb
2/28/25,The Dark Tower,Stephen King
3/30/25,Arcanum Unbound: The Cosmere Collection,Brandon Sanderson
4/1/25,Dungeon Crawler Carl,Matt Dinniman
4/26/25,Carl's Doomsday Scenario ,Matt Dinniman
5/10/25,Camp Damascus ,Chuck Tingle
06/01/25,The Gate of the Feral Gods,Matt Dinniman 
6/29/25,Ship of Magic,Robin Hobb
7/27/25,Planetfall,Emma Newman
8/1/25,The Butcher's Masquerade ,Matt Dinniman
8/7/25,Someone you can Build a Nest in,John Wiswell
8/14/25,How to Keep House While Drowning,KC Davis
8/23/25,Light from Uncommon Stars,Ryka Aoki
8/30/25,The Staircase in the Woods,Chuck Wendig
9/20/25,Mad Ship,Robin Hobb
10/3/25,Witchcraft for Wayward Girls,Grady Hendrix
10/11/25,The Eye of the Bedlam Bride,Matt Dinniman 
10/12/25,Yumi and the Nightmare Painter ,Brandon Sanderson 
